Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,23.510000,23.750000,22.950001,23.209999,23.198399,49600
2023-03-02,22.600000,23.959999,22.379999,23.799999,23.788103,105200
2023-03-03,23.920000,24.670000,23.670000,24.670000,24.657669,80200
2023-03-06,24.750000,25.309999,24.070000,24.190001,24.177910,122700
2023-03-07,24.209999,24.520000,23.540001,23.629999,23.618187,96000
2023-03-08,23.879999,24.900000,23.879999,24.870001,24.857571,83300
2023-03-09,24.850000,25.590000,23.799999,23.860001,23.848074,142100
2023-03-10,24.070000,24.280001,22.820000,23.059999,23.048473,193800
2023-03-13,22.600000,23.590000,22.049999,23.020000,23.008493,279600
2023-03-14,23.920000,24.830000,23.790001,24.549999,24.537727,130900
2023-03-15,24.010000,24.410000,23.250000,24.330000,24.317839,141200
2023-03-16,24.070000,26.340000,23.950001,26.290001,26.276859,139900
2023-03-17,26.370001,27.000000,25.840000,26.120001,26.106945,145200
2023-03-20,26.049999,26.740000,25.559999,26.559999,26.546724,101900
2023-03-21,26.990000,27.400000,25.920000,26.700001,26.686655,180000
2023-03-22,26.840000,28.450001,26.490000,26.490000,26.476759,242300
2023-03-23,27.309999,28.510000,26.969999,27.920000,27.906044,132700
2023-03-24,27.510000,27.510000,26.450001,26.980000,26.966515,79600
2023-03-27,27.230000,27.299999,26.240000,26.459999,26.446774,82500
2023-03-28,26.350000,26.350000,25.280001,26.049999,26.036978,89900
2023-03-29,26.690001,27.799999,26.690001,27.510000,27.496250,115800
2023-03-30,28.170000,28.690001,28.030001,28.410000,28.395800,245400
2023-03-31,28.000000,28.950001,27.879999,28.910000,28.895550,124600
2023-04-03,28.549999,28.840000,27.820000,28.639999,28.625685,123600
2023-04-04,28.750000,28.750000,27.360001,27.680000,27.666164,83700
2023-04-05,27.010000,27.010000,26.059999,26.639999,26.626684,135300
2023-04-06,26.070000,26.750000,25.740000,26.500000,26.486753,42800
2023-04-10,26.139999,27.490000,26.070000,27.459999,27.446274,77400
2023-04-11,27.760000,27.760000,26.980000,27.040001,27.026485,76800
2023-04-12,27.420000,27.480000,25.930000,25.959999,25.947023,94400
2023-04-13,26.190001,26.650000,25.709999,26.290001,26.276859,90900
2023-04-14,26.240000,26.840000,25.629999,26.320000,26.306845,64600
2023-04-17,25.910000,26.570000,25.799999,26.570000,26.556719,139300
2023-04-18,27.200001,27.600000,26.559999,27.000000,26.986504,89700
2023-04-19,26.320000,26.820000,26.280001,26.750000,26.736629,58600
2023-04-20,26.190001,27.209999,26.170000,26.370001,26.356819,74800
2023-04-21,26.070000,26.230000,25.600000,26.120001,26.106945,42700
2023-04-24,26.000000,26.330000,25.540001,25.940001,25.927034,77600
2023-04-25,25.719999,25.719999,24.309999,24.320000,24.307844,408000
2023-04-26,24.830000,25.100000,24.330000,24.510000,24.497749,95600
2023-04-27,24.549999,24.920000,23.719999,24.900000,24.887554,77500
2023-04-28,25.080000,25.809999,24.959999,25.799999,25.787104,86600
2023-05-01,25.969999,26.690001,25.930000,26.559999,26.546724,123800
2023-05-02,26.440001,26.620001,25.430000,25.790001,25.777109,288800
2023-05-03,25.459999,26.000000,25.110001,25.150000,25.137428,70500
2023-05-04,24.830000,25.219999,24.500000,24.879999,24.867563,91500
2023-05-05,25.200001,26.459999,25.010000,26.320000,26.306845,61300
